Resource Name,Service,Account,Region,Last Modified,instanceId,vpcId
i-06c8fbdaaa00b83e7,Amazon EC2,AWS Eggs,AWS Ohio,2022-06-07 09:01:35,i-06c8fbdaaa00b83e7,vpc-4085eb2b
AJ_EC2_EKS,Amazon EC2,AWS Eggs,AWS Oregon,2022-06-07 05:17:41,i-067d506a4d92e03b1,vpc-82bbb4fa
i-03549eed0ecb13ba3,Amazon EC2,AWS Eggs,AWS Ohio,2022-06-06 22:04:37,i-03549eed0ecb13ba3,vpc-4085eb2b
i-00a12d61db0365771,Amazon EC2,AWS Eggs,AWS Ohio,2022-06-06 22:04:37,i-00a12d61db0365771,vpc-4085eb2b
i-09f7d472325636823,Amazon EC2,AWS Eggs,AWS Ohio,2022-06-06 22:04:37,i-09f7d472325636823,vpc-4085eb2b
i-06df4a099680b1a00,Amazon EC2,AWS Eggs,AWS Virginia,2022-06-06 22:04:19,i-06df4a099680b1a00,vpc-0ae9409a5fa2d607e
i-090a4a44cdf9851d8,Amazon EC2,AWS Eggs,AWS Virginia,2022-06-06 22:04:19,i-090a4a44cdf9851d8,vpc-04f2fe2f4bb60af36
i-01fcb542408a1a293,Amazon EC2,AWS Eggs,AWS Virginia,2022-06-06 22:04:19,i-01fcb542408a1a293,vpc-0ae9409a5fa2d607e
i-0ff154cec568978c4,Amazon EC2,AWS Eggs,AWS Virginia,2022-06-06 22:04:19,i-0ff154cec568978c4,vpc-04f2fe2f4bb60af36
i-0879809b67d659769,Amazon EC2,AWS Eggs,AWS Virginia,2022-06-06 22:04:19,i-0879809b67d659769,vpc-04f2fe2f4bb60af36
i-089d0c35e9e260907,Amazon EC2,AWS Eggs,AWS Virginia,2022-06-06 22:04:19,i-089d0c35e9e260907,vpc-04f2fe2f4bb60af36
i-078adc927b7ffc5d9,Amazon EC2,AWS Eggs,AWS Virginia,2022-06-06 22:04:19,i-078adc927b7ffc5d9,vpc-04f2fe2f4bb60af36
i-098b5d77b47424fd0,Amazon EC2,AWS Eggs,AWS Virginia,2022-06-06 22:04:19,i-098b5d77b47424fd0,vpc-0acf15ca4cba41201
i-085f78218b7592de1,Amazon EC2,AWS Eggs,AWS Ohio,2022-06-06 21:58:03,i-085f78218b7592de1,vpc-4085eb2b
i-01f0db4d9a23c7646,Amazon EC2,AWS Eggs,AWS Virginia,2022-06-06 21:12:34,i-01f0db4d9a23c7646,vpc-0ec0bf73
gklimeckawsubuntu,Amazon EC2,AWS Eggs,AWS Virginia,2022-06-03 19:45:54,i-030c0a39f0997ce19,vpc-0ec0bf73
gklimeck_ubuntu,Amazon EC2,AWS Eggs,AWS Oregon,2022-06-03 18:11:02,i-03043aaf6171911af,vpc-82bbb4fa
AnthemLatestAMIYash,Amazon EC2,AWS Eggs,AWS Virginia,2022-06-01 13:00:43,i-035fb62dbf4002aed,vpc-0ec0bf73
AnthemCustomAMI,Amazon EC2,AWS Eggs,AWS Virginia,2022-06-01 06:36:20,i-07deab32869a6a535,vpc-0ec0bf73
i-0e58eb0a73c1c1733,Amazon EC2,AWS Eggs,AWS Virginia,2022-05-31 15:23:40,i-0e58eb0a73c1c1733,vpc-0acf15ca4cba41201
pcs-ec2-rsingh,Amazon EC2,AWS Eggs,AWS Virginia,2022-05-31 10:46:52,i-0be1c7c4e8e592faa,vpc-0ec0bf73
i-0b7ba81067ca11f7d,Amazon EC2,AWS Eggs,AWS Virginia,2022-05-30 01:52:14,i-0b7ba81067ca11f7d,vpc-0ec0bf73
console1,Amazon EC2,AWS Eggs,AWS California,2022-05-27 11:24:40,i-0eb4791787dae67f7,vpc-01ee2986fd5cac156
i-085aa5d15bbd6dd1f,Amazon EC2,AWS Eggs,AWS California,2022-05-27 11:24:40,i-085aa5d15bbd6dd1f,vpc-02822a64
def,Amazon EC2,AWS Eggs,AWS California,2022-05-27 11:24:40,i-0527378a8ef44e01f,vpc-02822a64
